Latitude,Longitude,﻿Site Name,Site Status,Site Address1,Site Address2,Site City,Site State,Site Zip,Site Phone,"Meal Types Served:
","Start Date
(MM/DD/YY)","End Date
(MM/DD/YY)"
35.8424,-94.6382111,MARYETTA PUBLIC SCHOOL(105),Open,100 MARYETTA RD.,,STILWELL,OK,74960,918-696-2285,B L,5/30/2017,6/23/2017
35.8424,-94.63821,ZION PUBLIC SCHOOL(105),Open,470658 EAST 850 ROAD,,STILWELL,OK,74960,918-696-5496,B L,6/5/2017,6/29/2017
35.8142126,-94.6435353,DAHLONEGAH PUBLIC SCHOOL(105),Open,HWY 59 SOUTH,,STILWELL,OK,74960,918-696-7807,B L,6/5/2017,6/29/2017
35.815133,-94.633464,STILWELL ES(105),Open,10 S. 6TH STREET,,STILWELL,OK,74960,918-696-3228,B L,6/5/2017,6/29/2017
34.33047963,-95.94883146,LANE PUBLIC SCHOOL(105),Open,601 W. MCGEE CREEK RD.,,LANE,OK,74555,580-889-2743,B L,6/5/2017,6/22/2017
34.3792034,-96.1457067,ATOKA HS(705),Open,800 GREATHOUSE DRIVE,,ATOKA,OK,74525,580-889-4051,B L,5/22/2017,6/29/2017
34.317508,-96.170312,TUSHKA ES(105),Open,2661 W. BOGGY DEPOT RD.,,ATOKA,OK,74525,580-889-7355,B L,5/30/2017,6/30/2017
34.2339858,-96.2140016,CANEY ES(105),Open,301 N COBB AVE,,CANEY,OK,74533,580-889-1967,B L,6/5/2017,6/29/2017
35.85573673,-98.41056,WATONGA MS(505),Open,1200 NORTH BURFORD,,WATONGA,OK,73772,580-623-4049,L,6/1/2017,6/30/2017
35.62976,-98.324083,GEARY ES(105),Open,221 S GALENA,,GEARY,OK,73040,405-884-5710,B L,6/5/2017,6/30/2017
36.0503975,-98.5905545,CANTON ES(105),Open,HIGHWAY 58 SOUTH AND PARK STREET,,CANTON,OK,73724,580-886-3516,B L,5/15/2017,6/8/2017
33.997899,-96.230903,ROCK CREEK ES(105),Open,23072 US HWY 70,,DURANT,OK,74726,580-924-9601,B L,5/22/2017,6/30/2017
33.93744121,-96.42780879,CALERA ES(105),Open,209 NORTH 3RD ST,,CALERA,OK,74730,580-434-4817,B L,5/22/2017,6/29/2017
34.004802,-96.394082,NORTHWEST HEIGHTS ES(115),Open,1715 W UNIVERSITY BLVD,,DURANT,OK,73449,580-916-7363,B L,5/30/2017,6/30/2017
33.99510571,-96.37977,Boys and Girls Club(N01),Open,415 N. 5TH ST.,,DURANT,OK,74701,580-579-2423,B L,6/5/2017,8/11/2017
34.0292808,-94.7412932,Choctaw Boys & Girls Club of Broken Bow(N01),Open,210 CHAHTA STREET,,BROKEN BOW,OK,74728,580-584-3636,L,6/1/2017,7/14/2017
34.634386,-95.2808416,Choctaw Nation Council House Cafeteria in Tuskahoma(N2),Open,COUNCIL HOUSE ROAD,,TUSKAHOMA,OK,74574,580-924-8280,L,5/22/2017,5/31/2017
34.75806509,-95.08110399,Choctaw Boys & Girls Club of Talihina(N3),Open,13835 SE 202ND ROAD,,TALIHINA,OK,74571,918-567-3498,L,5/22/2017,8/4/2017
34.755965,-95.084493,Choctaw Nation Hospital Caferia in Talihina(N4),Open,ONE CHOCTAW WAY,,TALIHINA,OK,74571,918-567-7000,L,5/22/2017,8/4/2017
34.0271001,-94.7211867,Choctaw Nation Head Start in Broken Bow(N5),Open,300 CHAHTA STREET,,BROKEN BOW,OK,74728,580-584-6680,L,6/1/2017,7/14/2017
35.2172114,-94.6573878,Choctaw Nation Community Center in Spiro(N6),Open,19400 AES ROAD,,SPIRO,OK,74959,918-962-3832,L,6/1/2017,6/30/2017
34.0139803,-95.5283584,Choctaw Nation Head Start in Hugo(N7),Open,408 WEBB/M STREET,,HUGO,OK,74743,580-326-3653,L,6/1/2017,7/14/2017
35.07434,-98.23709,ANADARKO EAST ES(105),Open,107 SOUTHEAST 5TH STREET,,ANADARKO,OK,73005,405-247-2496,B L,5/24/2017,7/28/2017
35.10184517,-98.61044889,CARNEGIE ES(105),Open,200 W 4TH,,CARNEGIE,OK,73015,580-654-1470,L,5/30/2017,7/27/2017
34.89833061,-98.36287102,APACHE ES(105),Open,505 S. FORREST STREET,,APACHE,OK,73006,580-588-3357,B L,5/24/2017,6/23/2017
35.0986349,-98.4434577,FORT COBB-BROXTON LOWER ES(105),Open,407 N. 6TH STREET,,FORT COBB,OK,73038,405-643-2336,B L,5/22/2017,6/16/2017
35.040239,-98.286973,Oakridge Camp(N01),Open,20007 STATE HWY. 9,,ANADARKO,OK,73005,405-247-5433,B L,5/24/2017,8/6/2017
